threat_level,vulnerability_score,impact_factor,risk_category
3,9,7,Critical
5,6,4,High
5,1,8,High
3,6,1,Medium
1,7,8,High
2,6,6,High
3,10,7,Critical
5,2,8,High
5,6,7,High
5,4,6,High
4,1,1,Low
4,10,4,High
5,2,3,Medium
3,10,3,High
2,3,9,High
5,9,6,Critical
2,8,8,High
2,6,4,Medium
5,4,7,High
2,7,9,High
3,8,5,High
5,5,3,High
3,1,5,Medium
4,5,2,Medium
5,2,7,High
3,4,10,High
3,2,10,High
4,3,8,High
4,3,4,Medium
5,4,2,Medium
1,9,7,High
4,4,2,Medium
1,7,10,High
2,3,1,Low
3,8,3,High
3,10,3,High
3,7,1,Medium
2,6,5,High
2,1,9,Medium
1,4,1,Low
4,6,6,High
3,2,7,Medium
3,2,1,Low
2,7,5,High
2,1,4,Medium
3,2,2,Medium
4,7,9,Critical
2,2,2,Low
3,1,1,Low
3,2,6,Medium
1,2,9,Medium
2,8,1,Medium
3,6,8,High
4,7,5,High
2,7,3,Medium
3,5,5,High
1,3,2,Low
5,10,6,Critical
4,1,2,Medium
3,7,8,High
4,7,7,High
4,1,1,Low
5,7,9,Critical
2,3,4,Medium
4,8,4,High
1,9,9,Critical
5,5,10,Critical
2,4,9,High
2,4,5,Medium
4,4,7,High
5,9,6,Critical
1,2,1,Low
2,2,2,Low
4,8,4,High
2,8,8,High
3,10,7,Critical
2,2,8,Medium
5,5,4,High
3,8,7,High
3,10,6,Critical
3,8,7,High
2,9,10,Critical
5,1,10,High
1,4,7,Medium
5,5,4,High
3,1,9,High
2,10,7,Critical
5,1,3,Medium
1,7,10,High
2,1,9,Medium
4,10,6,Critical
1,1,10,Medium
4,7,8,Critical
2,10,3,High
2,3,6,Medium
2,3,6,Medium
3,9,4,High
2,9,1,Medium
5,1,5,Medium
1,1,2,Low
